service_id,date,exception_type
24-1-127,20220528,2
24-1-127,20220529,2
24-1-127,20220530,2
24-1-127,20220531,2
24-1-127,20220601,2
24-1-127,20220602,2
24-1-127,20220603,2
24-1-127,20220604,2
24-1-127,20220605,2
24-1-127,20220606,2
24-1-127,20220607,2
24-1-127,20220608,2
24-1-127,20220609,2
24-1-127,20220610,2
24-1-127,20220611,2
24-1-127,20220612,2
24-1-127,20220613,2
24-1-127,20220614,2
24-1-127,20220615,2
24-1-127,20220616,2
24-1-127,20220617,2
24-1-127,20220618,2
24-1-127,20220619,2
24-1-127,20220620,2
24-1-127,20220621,2
24-1-127,20220622,2
24-1-127,20220623,2
24-1-127,20220624,2
24-1-127,20220625,2
24-1-127,20220626,2
24-1-127,20220627,2
24-1-127,20220628,2
24-1-127,20220629,2
24-1-127,20220630,2
24-1-127,20220701,2
24-1-127,20220702,2
24-1-127,20220703,2
24-1-127,20220704,2
24-1-127,20220705,2
24-1-127,20220706,2
24-1-127,20220707,2
24-1-127,20220708,2
24-1-127,20220709,2
24-1-127,20220710,2
24-1-127,20220711,2
24-1-127,20220712,2
24-1-127,20220713,2
24-1-127,20220714,2
24-1-127,20220715,2
24-1-127,20220716,2
24-1-127,20220717,2
24-1-127,20220718,2
24-1-127,20220719,2
24-1-127,20220720,2
24-1-127,20220721,2
24-1-127,20220722,2
24-1-127,20220723,2
24-1-127,20220724,2
24-1-127,20220725,2
24-1-127,20220726,2
24-1-127,20220727,2
24-1-127,20220728,2
24-1-127,20220729,2
24-1-127,20220730,2
24-1-127,20220731,2
24-1-127,20220801,2
24-1-127,20220802,2
24-1-127,20220803,2
24-1-127,20220804,2
24-1-127,20220805,2
24-1-127,20220806,2
24-1-127,20220807,2
24-1-127,20220808,2
24-1-127,20220809,2
24-1-127,20220810,2
24-1-127,20220811,2
24-1-127,20220812,2
24-1-127,20220813,2
24-1-127,20220814,2
24-1-127,20220815,2
24-1-127,20220816,2
24-1-127,20220817,2
24-1-127,20220818,2
24-1-127,20220819,2
24-1-127,20220820,2
24-1-127,20220821,2
24-1-127,20220822,2
24-1-127,20220823,2
24-1-127,20220824,2
24-1-127,20220825,2
24-1-127,20220826,2
24-1-127,20220827,2
24-1-127,20220828,2
25-1-127,20220325,2
25-1-127,20220326,2
25-1-127,20220327,2
25-1-127,20220401,2
25-1-127,20220402,2
25-1-127,20220403,2
25-1-127,20220408,2
25-1-127,20220409,2
25-1-127,20220410,2
25-1-127,20220415,2
25-1-127,20220416,2
25-1-127,20220417,2
25-1-127,20220418,2
25-1-127,20220422,2
25-1-127,20220423,2
25-1-127,20220424,2
25-1-127,20220425,2
25-1-127,20220426,2
25-1-127,20220427,2
25-1-127,20220428,2
25-1-127,20220429,2
25-1-127,20220430,2
25-1-127,20220501,2
25-1-127,20220502,2
25-1-127,20220503,2
25-1-127,20220504,2
25-1-127,20220505,2
25-1-127,20220506,2
25-1-127,20220507,2
25-1-127,20220508,2
25-1-127,20220513,2
25-1-127,20220514,2
25-1-127,20220515,2
25-1-127,20220520,2
25-1-127,20220521,2
25-1-127,20220522,2
25-1-127,20220526,2
25-1-127,20220527,2
25-1-127,20220528,2
25-1-127,20220529,2
25-1-127,20220603,2
25-1-127,20220604,2
25-1-127,20220605,2
25-1-127,20220606,2
25-1-127,20220610,2
25-1-127,20220611,2
25-1-127,20220612,2
25-1-127,20220617,2
25-1-127,20220618,2
25-1-127,20220619,2
25-1-127,20220624,2
25-1-127,20220625,2
25-1-127,20220626,2
25-1-127,20220627,2
25-1-127,20220628,2
25-1-127,20220629,2
25-1-127,20220630,2
25-1-127,20220701,2
25-1-127,20220702,2
25-1-127,20220703,2
25-1-127,20220704,2
25-1-127,20220705,2
25-1-127,20220706,2
25-1-127,20220707,2
25-1-127,20220708,2
25-1-127,20220709,2
25-1-127,20220710,2
25-1-127,20220711,2
25-1-127,20220712,2
25-1-127,20220713,2
25-1-127,20220714,2
25-1-127,20220715,2
25-1-127,20220716,2
25-1-127,20220717,2
25-1-127,20220718,2
25-1-127,20220719,2
25-1-127,20220720,2
25-1-127,20220721,2
25-1-127,20220722,2
25-1-127,20220723,2
25-1-127,20220724,2
25-1-127,20220725,2
25-1-127,20220726,2
25-1-127,20220727,2
25-1-127,20220728,2
25-1-127,20220729,2
25-1-127,20220730,2
25-1-127,20220731,2
25-1-127,20220801,2
25-1-127,20220802,2
25-1-127,20220803,2
25-1-127,20220804,2
25-1-127,20220805,2
25-1-127,20220806,2
25-1-127,20220807,2
25-1-127,20220808,2
25-1-127,20220809,2
25-1-127,20220810,2
25-1-127,20220811,2
25-1-127,20220812,2
25-1-127,20220813,2
25-1-127,20220814,2
25-1-127,20220815,2
25-1-127,20220816,2
25-1-127,20220817,2
25-1-127,20220818,2
25-1-127,20220819,2
25-1-127,20220820,2
25-1-127,20220821,2
25-1-127,20220822,2
